time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-11T01:06:18.684Z,-6.0661,129.9186,10,5.6,mww,,41,2.345,0.91,us,us70009dvh,2020-05-11T03:08:27.806Z,"259km NW of Saumlaki, Indonesia",earthquake,6.5,1.8,0.071,19,reviewed,us,us
2020-05-11T00:57:45.606Z,31.0182,141.938,10,4.6,mb,,100,2.761,0.42,us,us70009dvg,2020-05-11T01:23:08.040Z,"Izu Islands, Japan region",earthquake,8,1.9,0.043,161,reviewed,us,us
2020-05-10T23:58:33.746Z,36.3796,141.1547,30.41,5.8,mww,,26,0.792,0.76,us,us70009dus,2020-05-11T10:57:52.790Z,"50km E of Oarai, Japan",earthquake,6.4,3.2,0.089,12,reviewed,us,us
2020-05-10T23:30:03.546Z,-23.0994,-179.0123,340.07,4.6,mb,,165,5.995,1.14,us,us70009dui,2020-05-10T23:54:20.040Z,"273km S of Ndoi Island, Fiji",earthquake,9.5,7.1,0.098,31,reviewed,us,us
2020-05-10T23:10:00.210Z,2.4112,-77.3265,92.49,4.5,mb,,82,2.434,0.69,us,us70009du7,2020-05-10T23:35:00.040Z,"19km NNW of Argelia, Colombia",earthquake,8.2,6.7,0.049,121,reviewed,us,us
2020-05-10T22:07:40.370Z,33.0183333,-116.0201667,10.16,4.54,mw,141,21,0.138,0.27,ci,ci38488354,2020-05-11T11:07:06.909Z,"17km SE of Ocotillo Wells, CA",earthquake,0.14,0.48,,6,reviewed,ci,ci
2020-05-10T18:04:22.484Z,-22.7535,-68.1578,117.94,5.5,mww,,88,0.198,1.06,us,us70009drp,2020-05-10T20:06:17.426Z,"19km NNE of San Pedro de Atacama, Chile",earthquake,8.4,7.2,0.063,24,reviewed,us,us
2020-05-10T17:50:03.205Z,36.5718,70.9073,204.8,4.6,mb,,69,2.071,0.9,us,us70009dr9,2020-05-10T18:03:38.040Z,"33km SSE of Jarm, Afghanistan",earthquake,7.6,7.4,0.095,33,reviewed,us,us
2020-05-10T16:49:12.440Z,40.7597,78.8305,10,4.7,mb,,87,0.528,0.56,us,us70009dqt,2020-05-10T17:34:43.040Z,"127km WSW of Aksu, China",earthquake,4.5,1.8,0.095,34,reviewed,us,us
2020-05-10T07:16:19.651Z,77.2603,6.7861,10,4.5,mb,,76,12.359,0.54,us,us70009dmp,2020-05-10T08:33:13.040Z,"235km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,8.4,1.9,0.054,98,reviewed,us,us
2020-05-10T05:04:01.017Z,-24.0377,-175.692,35,4.8,mb,,122,15.814,0.76,us,us70009dln,2020-05-10T05:59:54.040Z,"South of Tonga",earthquake,5.6,2,0.076,54,reviewed,us,us
2020-05-10T04:46:01.831Z,49.5585,-127.6258,10,4.7,mb,,146,1.131,1.2,us,us70009dld,2020-05-11T00:18:50.219Z,"127km S of Port Hardy, Canada",earthquake,5.7,1.9,0.027,421,reviewed,us,us
2020-05-10T03:35:16.526Z,44.482,149.0221,32.33,4.5,mb,,135,4.629,0.55,us,us70009dl7,2020-05-10T04:04:54.040Z,"122km SE of Kuril'sk, Russia",earthquake,10.7,5.7,0.057,89,reviewed,us,us
2020-05-10T02:34:08.599Z,-7.4078,128.0982,172.94,4.6,mb,,57,3.223,0.86,us,us70009dkm,2020-05-10T02:52:41.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,9.7,8.3,0.116,22,reviewed,us,us
2020-05-10T00:57:26.820Z,1.8238,127.4597,137.62,4.5,mb,,76,1.049,0.63,us,us70009dk2,2020-05-10T01:24:28.040Z,"62km W of Tobelo, Indonesia",earthquake,8.1,6.3,0.062,77,reviewed,us,us
2020-05-09T23:35:12.977Z,-11.6318,165.0801,10,4.9,mww,,60,4.318,0.96,us,us70009djb,2020-05-09T23:53:06.040Z,"130km SW of Lata, Solomon Islands",earthquake,8.6,1.9,0.098,10,reviewed,us,us
2020-05-09T21:42:56.325Z,-19.194,-69.2026,133.47,4.6,mwr,,81,0.472,1.1,us,us70009di0,2020-05-09T22:08:39.060Z,"116km SSE of Putre, Chile",earthquake,5.9,5.2,,,reviewed,us,guc
2020-05-09T19:18:11.884Z,14.0476,120.525,86.86,5.3,mww,,30,8.529,0.74,us,us70009dg1,2020-05-10T14:33:54.062Z,"10km W of San Diego, Philippines",earthquake,8.2,5.3,0.053,34,reviewed,us,us
2020-05-09T15:35:58.629Z,40.7586,78.8225,10,5.3,mww,,31,0.533,0.94,us,us70009dda,2020-05-09T22:05:05.535Z,"127km WSW of Aksu, China",earthquake,4,1.8,0.086,13,reviewed,us,us
2020-05-09T14:02:03.808Z,54.3135,-163.4527,70.19,4.7,mb,,152,0.544,0.9,us,us70009dbw,2020-05-09T17:27:54.440Z,"59km S of False Pass, Alaska",earthquake,7.1,10.7,0.06,84,reviewed,us,us
2020-05-09T13:30:06.763Z,10.5356,-62.5105,87.24,4.5,mb,,137,1.795,0.75,us,us70009dbc,2020-05-09T21:32:42.501Z,"8km ESE of Irapa, Venezuela",earthquake,6.8,9.1,0.145,14,reviewed,us,us
2020-05-09T13:18:39.406Z,-54.6389,158.799,10,4.8,mb,,118,0.167,0.9,us,us70009dba,2020-05-09T13:40:02.040Z,"19km SSW of Macquarie Island, Australia",earthquake,6.6,1.8,0.125,20,reviewed,us,us
2020-05-09T11:19:43.275Z,15.0061,122.5782,36.28,4.6,mb,,59,7.898,0.48,us,us70009da9,2020-05-09T20:22:48.981Z,"39km NE of Jomalig, Philippines",earthquake,8.4,5.7,0.059,86,reviewed,us,us
2020-05-09T11:14:45.004Z,-9.6212,125.0702,43.06,4.5,mb,,71,0.802,0.83,us,us70009d96,2020-05-09T12:51:24.040Z,"49km E of Leof, Indonesia",earthquake,6.4,8.5,0.115,22,reviewed,us,us
2020-05-09T10:52:52.066Z,37.3766,20.5134,12.15,4.8,mb,,100,1.143,0.87,us,us70009d8n,2020-05-09T11:10:05.040Z,"47km SW of Mouzaki, Greece",earthquake,7,4,0.044,155,reviewed,us,us
